3.4, 0.3, 0, 5, 0.0, 0
2.9, -0.1, 0, 0.0, 0.0, 1
3.4, -0.3, 0.0, 0.0, 0.0, -4
3.2, 0.2, 0.0, 0.0, 0.0, 4
3.2, -0.1, 0.0, 0.0, 0.0, -2.0
2.3, -0.4, 0.0, 0.0, 0.0, 39.0
1.5, -1.1, 0.0, 0.0, 0.0, 51.0
3.3, 0.0, 0.0, 0.0, 0.0, -1.0 
3.3, 0.2, 0.0, 0.0, 0.0, 1.0
3.2, 0.0, 0.0, 0.0, 0.0, -1.0
3.3, -0.2, 0.0, 0.0, 0.0, 4.0
2.5, 0.0, 0.0, 0.0, 0.0, -1.0
3.4, -0.2, 0.0, 0.0, 0.0, 0.0
3.6, -0.6, 0.0, 0.0, 0.0, 38
1.9, -1.2, 0.0, 0.0, 0.0, 52
3.3, -0.2, 0.0, 0.0, 0.0, -3
3.1, -0.1, 0.0, 0.0, 0.0, 0
3.2, 0.3, 0.0, 0.0, 0.0, -1
2.9, 0.2, 0.0, 0.0, 0.0, 5
3.2, -0.2, 0.0, 0.0, 0.0, -3
2.1, -0.2, 0.0, 0.0, 0.0, 58
1.3, -1.6, 0.0, 0.0, 0.0, 37
3.1, -0.3, 0.0, 0.0, 0.0, -2
3.3, -0.2, 0.0, 0.0, 0.0, -2
3.1, -0.2, 0.0, 0.0, 0.0, 0
2.8, 0.1, 0.0, 0.0, 0.0, 0
3, 0.2, 0.0, 0.0, 0.0, -2
3.2, 0.3, 0.0, 0.0, 0.0, 0
3.6, -1.6, 0.0, 0.0, 0.0, 50
