3.3,0,0,0,0,1
3.3,-0.1,0,0,0,0
3.3,0,0,0,0,-2
3.2,0,0,0,0,-3
1.2,0.3,0,0,0,-57
0.6,0.9,0,0,0,-29
3.2,0,0,0,0,-2
3.2,0.3,0,0,0,-2
3.2,0.1,0,0,0,-1
3.2,0.3,0,0,0,1
3.2,-0.1,0,0,0,2
3.3,-0.1,0,0,0,0
3.2,-0.1,0,0,0,0
0.4,0.4,0,0,0,-52
1,0.8,0,0,0,-41
3.3,0.3,0,0,0,0
3.3,0,0,0,0,0
3.3,-0.2,0,0,0,-3
3.3,0,0,0,0,0
3.3,-0.1,0,0,0,-2
1.1,0.1,0,0,0,0
0.3,0.3,0,0,0,-38
1,0.7,0,0,0,-50
2.9,0,0,0,0,-3
3.1,0.2,0,0,0,0
3.2,0.1,0,0,0,0
3.3,0.1,0,0,0,3
3.3,-0.1,0,0,0,0
2.9,0,0,0,0,-4
